2024-12-31 17:45:03 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:03 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:04 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:04 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:04 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:04 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:04 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:04 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:09 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:09 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:09 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:09 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:09 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:09 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:09 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:09 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:10 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:10 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:10 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:10 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:15 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:15 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:15 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:15 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:15 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:15 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:15 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:15 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:15 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:15 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:15 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:15 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:21 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:21 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:21 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:21 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:21 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:21 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:21 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:21 - DEBUG - Skipping duplicate poem: 春江花月夜
